"<ID|readonly|noverify>";"<English>"
hotkeys/ID_HUMAN_CONTROL_HEADER;Infantry
controls/human_walk;Move axis
controls/human_strafe;Strafe axis
infantry_camouflage;Soldiers camouflage
exp_reasons/kill_human;Infantry neutralized
unit_type/human;Infantry
flightmenu/btnBailoutHuman;Get rid of the soldier
flightmenu/questionBailoutHuman;Are you sure you want to get rid of the soldier?
mainmenu/firearms;Firearms
mainmenu/type_human;Firearm
crew/vision;Attentiveness
crew/mobility;Mobility
crew/weapon_handling;Weapon handling
crew/hpMult;Vitality
crew/enduranceMult;Endurance
crew/longerBreathHolding;Breath holding
crew/medkitHealingPowerMult;Medical skills
crew/visionSpottingDistanceMultiplier;Target detection
crew/visionSpottingMultiplier;Target identification
crew/runSpeedMult;Run speed
crew/aimSpeedMult;Aim speed
crew/bombPlantSpeedMult;Bomb planting speed
crew/weaponChangeSpeedMult;Weapon change speed
crew/poseChangeSpeedMult;Pose change speed
crew/reloadSpeedMult;Reload speed
crew/horizontalRecoilMult;Horizontal recoil resistance
crew/verticalRecoilMult;Vertical recoil resistance
crew/weaponTurningSpeedMult;Weapon turning speed
crew/weaponSwayForceMult;Weapon stability
crew/squadAdditionalSoldierCount;Soldier count
crew/vitality/hpMult/tooltip;
crew/vitality/enduranceMult/tooltip;
crew/vitality/longerBreathHolding/tooltip;
crew/vitality/medkitHealingPowerMult/tooltip;
crew/vision/visionSpottingDistanceMultiplier/tooltip;
crew/vision/visionSpottingMultiplier/tooltip;
crew/mobility/runSpeedMult/tooltip;
crew/mobility/aimSpeedMult/tooltip;
crew/mobility/bombPlantSpeedMult/tooltip;
crew/mobility/weaponChangeSpeedMult/tooltip;
crew/mobility/poseChangeSpeedMult/tooltip;
crew/weapon_handling/reloadSpeedMult/tooltip;
crew/weapon_handling/horizontalRecoilMult/tooltip;
crew/weapon_handling/verticalRecoilMult/tooltip;
crew/weapon_handling/weaponTurningSpeedMult/tooltip;
crew/weapon_handling/weaponSwayForceMult/tooltip;
crew/groundService/squadAdditionalSoldierCount/tooltip;
multiplayer/human_kills;Infantry Neutralized
expEventScore/killHuman;Neutralization of infantry
msgbox/applyToAllInfantrySkins;"Are you sure you want to apply camouflage
 {skin} for BR({br}) {location}, {team}
 to all firearms?"
mainmenu/changeFirearm;Change Firearm
hint/humanPickUpWeaponAmmo;Retrieve Ammo
hint/humanUse;Use
hint/humanPickUp;Pick Up
hint/humanThrowBack;Throw grenade back
hint/humanSwitchWeapons;Switch Weapons
hint/humanOpenDoor;Open Door
hint/humanCloseDoor;Close Door
hint/humanOpenWindow;Open Window
hint/humanCloseWindow;Close Window
hints/drone/cooldown_for_launch;Cooldown: {seconds} seconds
hints/drone_switch_control_mode;Deactivate Hover
hint/medkitUsage;{{ID_HUMAN_USE_MEDKIT}} Use Medkit
hint/bleeding_tip;Stop Bleeding
hint/burning_tip;Extinguish Fire
hint/soldier_switch_already_under_control;This soldier is already under your control.
hint/soldier_switch_not_active;This soldier is not active anymore.
hint/soldier_switch_wrong_index;You only have {numSoldiers} soldiers in your squad.
hint/context_command/no_alive_squadmates;No active soldiers in squad.
hint/context_command/all_orders_canceled;All orders cancelled.
hint/context_command/personal_order_canceled;Personal order cancelled.
hint/squad_orders/soldier_reports_failed_to_throw_grenade;The soldier failed to throw a grenade to the specified point.
hint/squad_orders/no_way_to_throw_grenade_nobody_can_reach;The soldier cannot throw a grenade to the specified point.
hint/squad_orders/soldier_reports_failed_to_attack_vehicle;The soldier cannot attack the specified vehicle.
hint/personal_context_command_canceled/too_far;Personal order cancelled. You are too far from your squadmate.
hint/squad/next_soldier_after_death;Next Soldier
hint/hold_breath_to_aim;{{ID_HUMAN_HOLD_BREATH}} Hold Breath
hint/next_variable_zoom_tip;Change Magnification
squad_orders/frag_grenade;Frag
squad_orders/smoke_grenade;Smoke
squad_orders/flash_grenade;Flash
squad_orders/cancel_mate_order;Cancel Order
squad_orders/cancel_orders;Cancel All Orders
squad_orders/orders_menu;Squad Actions...
squad_orders/attack_vehicle;Attack Vehicle
squad_orders/select_specific_soldier;Take Control Of Soldier
weapon_menu/human/header;Weapon Menu
weapon_menu/fire_mods/title;Fire Modes
weapon_menu/fire_mods/switch;Switch Fire Mode
weapon_menu/fire_mods/bolt_action;Manual
weapon_menu/fire_mods/full_auto;Auto
weapon_menu/fire_mods/full_auto_slow;Auto (Low RPM)
weapon_menu/fire_mods/semi_auto;Semi
weapon_menu/fire_mods/semi_auto_2_shots;Burst [2]
weapon_menu/fire_mods/semi_auto_3_shots;Burst [3]
weapon_menu/fire_mods/no_fire_mods;No Alternate Fire Modes
weapon_menu/unbarrel/activate_unbarrel_gun;Select Underbarrel Grenade Launcher
weapon_menu/unbarrel/deactivate_unbarrel_gun;Deselect Underbarrel Grenade Launcher
weapon_menu/unbarrel/no_unbarrel_mode;No Underbarrel
weapon_menu/laser/activate;Laser On
weapon_menu/laser/deactivate;Laser Off
weapon_menu/laser/no_laser_mod;No Laser Sight
weapon_menu/flashlight/activate;Flashlight On
weapon_menu/flashlight/deactivate;Flashlight Off
weapon_menu/flashlight/no_flashlight_mod;No Flashlight
death/bulletHit;Bullet Hit
death/headshotHit;Headshot Hit
death/meleeHit;Melee Hit
death/bleedOut;Bleeding
death/fallDmg;Fall Damage
death/ranOver;Roadkill
death/nearbyExplosion;Explosion
death/humanDrown;Drowned
death/mapArea;Left The Battlefield
hint/miningWall;Mine Wall
hint/reassemblingWall;Reassemble Wall
hints/gun_needs_bipod;Bipod Required
hints/place_bipod;Mount Weapon
hints/drone/respawn_is_missing;No valid drone spawnpoint.
hints/drone/bleeding_warning;Operator Injured
hints/drone/not_availble_in_mission;Not available in the mission.
hints/drone/lost_signal;Signal Lost
hints/drone/out_of_area;Out of Signal Range
hints/drone/near_area_border;Signal Range Boundary
hints/drone/weak_signal;Weak Signal
hints/resupply/medkit_box_refill;Refill Medkits
hints/resupply/medkit_box_item_is_full;Maximum Medkits
hints/resupply/useful_box_empty;The box is empty.
hints/resupply/enemy_crate;Enemy Box
hints/resupply/explosive_box_refill;Refill Explosives
hints/resupply/ammo_box_refill;Refill Ammo
hints/resupply/armor_box_refill;Restore Armor
hints/resupply/ammo_full;Maximum Ammo
modification/scope_aimpoint_pro_red_dot;Aimpoint Pro
modification/scope_aimpoint_pro_red_dot/desc;Installs an Aimpoint Pro red dot sight on the main weapon.
modification/scope_trijicon_rmr_red_dot;Trijicon RMR
modification/scope_trijicon_rmr_red_dot/desc;Installs a Trijicon RMR micro red dot sight on the main weapon.
modification/scope_vzor_red_dot;Vzor
modification/scope_vzor_red_dot/desc;Installs a Vzor red dot sight on the main weapon.
modification/scope_aimpoint_acro_p2_red_dot;Aimpoint Acro P-2
modification/scope_aimpoint_acro_p2_red_dot/desc;Installs an Aimpoint Acro P-2 red dot sight on the main weapon.
modification/scope_m68_cco;M68 CCO
modification/scope_m68_cco/desc;Installs an M68 Close Combat Optic on the main weapon.
modification/scope_1p63;1P63
modification/scope_1p63/desc;Installs a 1P63 red dot sight on the main weapon.
modification/scope_ekp_8_18_cobra;EKP-8-18
modification/scope_ekp_8_18_cobra/desc;"Installs an EKP-8-18 ""Kobra"" red dot sight on the main weapon."
modification/scope_exps3;EXPS3
modification/scope_exps3/desc;Installs an EXPS3 holographic sight on the main weapon.
modification/scope_1p87;1P87
modification/scope_1p87/desc;Installs a 1P87 holographic sight on the main weapon.
modification/scope_scp_t4iecdq;Leapers UTG Accushot
modification/scope_scp_t4iecdq/desc;Installs a Leapers UTG AccuShot 4x scope on the main weapon.
modification/scope_pso1_ak_4x;PSO-1
modification/scope_pso1_ak_4x/desc;Installs a PSO-1 4x scope on the main weapon.
modification/scope_acog_ta31;TA31 ACOG
modification/scope_acog_ta31/desc;Installs a TA31 Advanced Combat Optical Gunsight on the main weapon.
modification/scope_vortex_lpvo;Vortex LPVO
modification/scope_vortex_lpvo/desc;Installs a Vortex Low-Power Variable Optic on the main weapon.
modification/scope_sig_tango6_x6;Sig Tango6T
modification/scope_sig_tango6_x6/desc;Installs a Sig Tango6T low-power variable optic on the main weapon.
modification/scope_an_pas;AN/PAS-13
modification/scope_an_pas/desc;Installs an AN/PAS-13 thermal imaging sight on the main weapon.
modification/scope_scotopia_s350f;Scotopia PTRS
modification/scope_scotopia_s350f/desc;Installs a Scotopia Precision Thermal Rifle Scope on the main weapon.
modification/scope_shakhin;Cyclone Shakhin
modification/scope_shakhin/desc;Installs a Cyclone Shakhin thermal imaging sight on the main weapon.
modification/tactical_flashlight;Flashlight
modification/tactical_flashlight/desc;Installs a tactical flashlight on the main weapon.
modification/tactical_laser_us;Laser
modification/tactical_laser_us/desc;Installs a tactical laser pointer on the main weapon.
modification/tactical_laser_ussr;Laser
modification/tactical_laser_ussr/desc;Installs a tactical laser pointer on the main weapon.
modification/tactical_block_us;Advanced Target Pointer
modification/tactical_block_us/desc;Installs an advanced target pointer on the main weapon.
modification/tactical_block_ussr;Advanced Target Pointer
modification/tactical_block_ussr/desc;Installs an advanced target pointer on the main weapon.
modification/muzzle_223cb_compensator;223CB
modification/muzzle_223cb_compensator/desc;Installs a 223CB muzzle brake on the main weapon.
modification/muzzle_m11_sd_compensator;M11-SD
modification/muzzle_m11_sd_compensator/desc;Installs an M11 Severe-Duty muzzle brake on the main weapon.
modification/muzzle_vector_vr_13_compensator;Vector VR-13
modification/muzzle_vector_vr_13_compensator/desc;Installs a Vector VR-13 muzzle brake on the main weapon.
modification/muzzle_zenith_dtk_3_compensator;Zenith DTK-3
modification/muzzle_zenith_dtk_3_compensator/desc;Installs a Zenith DTK-3 muzzle brake on the main weapon.
modification/muzzle_socom556_suppressor;Suppressor
modification/muzzle_socom556_suppressor/desc;Installs a suppressor on the main weapon.
modification/muzzle_xm5_suppressor;Suppressor
modification/muzzle_xm5_suppressor/desc;Installs a suppressor on the main weapon.
modification/muzzle_m110a1_suppressor;Suppressor
modification/muzzle_m110a1_suppressor/desc;Installs a suppressor on the main weapon.
modification/muzzle_gls_mac_supressor;Suppressor
modification/muzzle_gls_mac_supressor/desc;Installs a muzzle brake on the main weapon.
modification/muzzle_hexagon_suppressor;Suppressor
modification/muzzle_hexagon_suppressor/desc;Installs a suppressor on the main weapon.
modification/muzzle_rotor43_svdm_suppressor;Suppressor
modification/muzzle_rotor43_svdm_suppressor/desc;Installs a suppressor on the main weapon.
modification/muzzle_pp_19_suppressor;Suppressor
modification/muzzle_pp_19_suppressor/desc;Installs a suppressor on the main weapon.
modification/grip_vertical_tangodown;TangoDown M-LOK
modification/grip_vertical_tangodown/desc;Installs a TangoDown M-LOK vertical front grip on the main weapon.
modification/grip_vertical_utg_5_position;UTG-5
modification/grip_vertical_utg_5_position/desc;Installs a UTG-5 vertical front grip on the main weapon.
modification/grip_vertical_rk2;ZenitCo RK-2
modification/grip_vertical_rk2/desc;Installs a ZenitCo RK-2 vertical front grip on the main weapon.
modification/grip_vertical_utg_qd;UTG QD
modification/grip_vertical_utg_qd/desc;Installs a UTG QD vertical front grip on the main weapon.
modification/grip_vertical_molot;Molot
modification/grip_vertical_molot/desc;Installs a Molot vertical front grip on the main weapon.
modification/grip_angled_magpul;Magpul AFG
modification/grip_angled_magpul/desc;Installs a Magpul AFG angled front grip on the main weapon.
modification/grenade_launcher_m320;M320
modification/grenade_launcher_m320/desc;Installs an M320 underbarrel grenade launcher on the main weapon.
modification/grenade_launcher_gp_34;GP-34
modification/grenade_launcher_gp_34/desc;Installs a GP-34 grenade launcher on the main weapon.
modification/5_56mm_tracer_ammo_belt;Tracers
modification/5_56mm_tracer_ammo_belt/desc;Loads magazines with additional tracer cartridges.
modification/5_56mm_ap_ammo_belt;Armor-Piercing
modification/5_56mm_ap_ammo_belt/desc;Loads magazines with additional armor-piercing cartridges.
modification/magazine_magpul_pmag_30_round;Magpul PMAG 30
modification/magazine_magpul_pmag_30_round/desc;Installs the Magpul PMAG 30 30-round light plastic magazine on the main weapon.
modification/magazine_magpul_pmag_40_round;Magpul PMAG 40
modification/magazine_magpul_pmag_40_round/desc;Installs a Magpul PMAG 40 40-round light plastic magazine on the main weapon.
modification/magazine_magpul_pmag_60_round;Magpul PMAG 60
modification/magazine_magpul_pmag_60_round/desc;Installs a Magpul PMAG 60 60-round light plastic magazine on the main weapon.
modification/shotgun_mossberg_590;Mossberg 590
modification/shotgun_mossberg_590/desc;Allows you to additionally arm one of the soldiers in your squad with a shotgun.
modification/shotgun_ks_p;KS-P 18.5
modification/shotgun_ks_p/desc;Allows you to additionally arm one of the soldiers in your squad with a shotgun.
modification/machinegun_m240;M240B
modification/machinegun_m240/desc;Allows you to additionally arm one of the soldiers in your squad with a general purpose machine gun.
modification/machinegun_reapr;REAPR
modification/machinegun_reapr/desc;Allows you to additionally arm one of the soldiers in your squad with a general purpose machine gun.
modification/machinegun_pkp_pecheneg;PKP Pecheneg
modification/machinegun_pkp_pecheneg/desc;Allows you to additionally arm one of the soldiers in your squad with a general purpose machine gun.
modification/at_laucher_rpg_7;RPG-7
modification/at_laucher_rpg_7/desc;Allows you to additionally arm one of the soldiers in your squad with an anti-tank grenade launcher.
modification/at_laucher_at_4;AT-4
modification/at_laucher_at_4/desc;Allows you to additionally arm one of the soldiers in your squad with an anti-tank grenade launcher.
modification/mpads_igla;9K38 Igla
modification/mpads_igla/desc;Allows you to additionally arm one of the soldiers in your squad with a man-portable air-defence system.
modification/mpads_stinger;FIM-92A
modification/mpads_stinger/desc;Allows you to additionally arm one of the soldiers in your squad with a man-portable air-defence system.
modification/strike_drone;Loitering Munition
modification/strike_drone/desc;Allows you to additionally arm one of the soldiers in your squad with a kamikaze drone.
modification/fpv_drone;FPV Drone
modification/fpv_drone/desc;Allows you to additionally arm one of the soldiers in your squad with a FPV drone.
modification/stun_grenade;Stun Grenade
modification/stun_grenade/desc;Allows you to equip soldiers in your squad with stun grenades.
modification/smoke_grenade;Smoke Grenade
modification/smoke_grenade/desc;Allows you to equip soldiers in your squad with smoke grenades.
modification/explosive_charge;Explosive Charge
modification/explosive_charge/desc;Allows you to equip soldiers in your squad with remote detonation charges.
modification/sidearms_pistol_mp_443;Sidearms
modification/sidearms_pistol_mp_443/desc;Adds pistols to the soldiers' equipment.
modification/sidearms_pistol_beretta_m9;Sidearms
modification/sidearms_pistol_beretta_m9/desc;Adds pistols to the soldiers' equipment.
modification/human_medkit;Extra Medkit
modification/human_medkit/desc;Increases the number of individual first aid kits for each soldier in the squad.
modification/bulletproof_vest_empty;No Armor
modification/bulletproof_vest_default;Default Armor
modification/bulletproof_vest_default/desc;
modification/bulletproof_vest_light;Light Armor
modification/bulletproof_vest_light_ghillie;Ghillie Suit
modification/bulletproof_vest_medium;Medium Armor
modification/bulletproof_vest_heavy;Heavy Armor
modification/category/equipment_grenade;Grenades
modification/category/equipment_special;Special
modification/category/equipment_common;Equipment
modification/item__weight;{value} to weight
modification/gun__adsSpeedMult;{value} to aiming speed
modification/gun__recoilAmount;{value} to recoil impulse
modification/gun__recoilDirAmount;{value} to recoil predictability
modification/gun__recoilControlMult;{value} to recoil control
modification/weap__sprintLerpFactor;{value} to speed up running
armor_parameters/composition;Armor Composition and Parameters
armor_parameters/weight;Armor Weight
armorSegment/helmet/name;Helmet
armorSegment/body/name;Torso Protection
armorSegment/rear_plate/name;Rear Plate
armorSegment/front_plate/name;Front Plate
armorSegment/side_plate_L/name;Left Side Plate
armorSegment/side_plate_R/name;Right Side Plate
armorSegment/groin/name;Groin Protection
armorSegment/groin_plate/name;Groin Protection Plate
armorSegment/vest/name;Vest
armorSegment/neck/name;Neck
armorSegment/shoulder_L/name;Left Shoulder
armorSegment/shoulder_R/name;Right Shoulder
streaks/heroic_human;Marksman Elite
streaks/heroic_human/other;
streaks/heroic_human/desc;Destroyed the most enemy infantry.
streaks/heroic_human_survivor;Predator
streaks/heroic_human_survivor/other;
streaks/heroic_human_survivor/desc;Hasn't lost a single infantry fireteam or a single vehicle (whether tank or aircraft) while destroying more enemy infantry than any other player on either team.
streaks/heroic_human_punisher;Against All Odds
streaks/heroic_human_punisher/other;
streaks/heroic_human_punisher/desc;Destroyed the most enemy infantry that are by 1.0 battle rating higher than your own.
streaks/trophy_near_human;Marksman
streaks/trophy_near_human/other;
streaks/trophy_near_human/desc;Destroyed the most enemy infantry. If several players have equal number of destroyed targets, the award is given to the one with a bigger score.
streaks/human_bullseye;Bullseye: x%d
streaks/human_bullseye/other;
streaks/human_bullseye/desc;Reward for neutralizing enemy infantry from a long distance.
streaks/human_bullseye/multiple;Bullseye
streaks/human_row_melee_kill;Close and Personal: x%d
streaks/human_row_melee_kill/multiple;Close and Personal
streaks/human_row_melee_kill/other;
streaks/human_row_melee_kill/desc;Reward for neutralizing 5 enemy infantrymen with melee weapons without losing your own fireteam.
streaks/human_row_ai_members_kill;Commander: x%d
streaks/human_row_ai_members_kill/multiple;Commander
streaks/human_row_ai_members_kill/other;
streaks/human_row_ai_members_kill/desc;Reward for neutralizing enemy infantry with AI-controlled soldiers of your fireteam without losing it.
streaks/human_kill_entire_squad_rapid;Rapid Fire: x%d
streaks/human_kill_entire_squad_rapid/multiple;Rapid Fire
streaks/human_kill_entire_squad_rapid/other;
streaks/human_kill_entire_squad_rapid/desc;Reward for quickly neutralizing an entire enemy fireteam using only your own fireteam.
streaks/multi_kill_human;Multistrike x%d!
streaks/multi_kill_human/other;
streaks/multi_kill_human/desc;Neutralized %d infantrymen in a row.
streaks/multi_kill_human/multiple/desc;Neutralized several infantrymen in a row.
streaks/multi_kill_human/multiple;Multistrike!
icon/mpstats/humanKills;╞
icon/hud_msg_mp_dmg/kill_h_h;▒
icon/hud_msg_mp_dmg/kill_t_h;▔
icon/hud_msg_mp_dmg/kill_a_h;▦
icon/hud_msg_mp_dmg/kill_h_a;▣
icon/hud_msg_mp_dmg/kill_h_t;▣
options/infantry_presets;Equipment Presets
modGroup/scope;Scope
modGroup/stock;Stock
modGroup/magazine;Magazine
modGroup/underbarrel;Underbarrel
modGroup/tactical;Tactical
modGroup/grip;Grip
modGroup/muzzle;Muzzle
unit/squadFeaturesHeader;Additional Equipment
unit/bulletCaliber;Caliber
unit/bulletSpeed;Bullet Velocity
unit/bulletMass;Bullet Mass
unit/bulletEnergy;Bullet Energy
unit/bulletArmorPower;Armor Power
unit/weaponShotFreq;Rate of Fire
unit/weaponWeight;Weight (empty)
unit/weaponRecoil;Recoil Impulse
unit/weaponAmmoHolders;Ammunition
location/hvg_granitograd;Granitograd
location/hvg_training_ground;Training Ground
missions/testRun;Test Mission
missions/granitograd_infdom;Granitograd
ak_12_shop;AK-12
ak_12_0;AO Kontsern Kalashnikov | AK-12
ak_12_1;AK-12
ak_12_2;AK-12
ak_15_shop;AO Kontsern Kalashnikov | AK-15
ak_15_0;AK-15
ak_15_1;AK-15
ak_15_2;AK-15
ak_74m_shop;AK-74M
ak_74m_0;AO Kontsern Kalashnikov | AK-74M
ak_74m_1;AK-74M
ak_74m_2;AK-74M
akm_47_shop;AKM
akm_47_0;Izhévsky mashinostroítelny Zavod (IZhMASh) | AKM
akm_47_1;AKM
akm_47_2;AKM
aksu_74_shop;AKS-74U
aksu_74_0;AKS-74U
aksu_74_1;AKS-74U
aksu_74_2;Assault rifle
asm_val_shop;ASM Val
asm_val_0;ASM Val
asm_val_1;AS Val
asm_val_2;Assault rifle
colt_9_mm_smg_shop;Colt 9mm SMG
colt_9_mm_smg_0;Colt 9mm SMG
colt_9_mm_smg_1;Colt 9mm
colt_9_mm_smg_2;SMG
kord_6p68_shop;Kord 6P68
kord_6p68_0;Kord 6P68
kord_6p68_1;6P68
kord_6p68_2;Assault rifle
m110a1_sdmr_shop;M110 SDMR
m110a1_sdmr_0;M110 SDMR
m110a1_sdmr_1;M110
m110a1_sdmr_2;DMR
m16a1_shop;M16A1
m16a1_0;M16A1
m16a1_1;M16
m16a1_2;Assault rifle
m16a4_shop;M16A4
m16a4_0;M16A4
m16a4_1;M16
m16a4_2;Assault rifle
m249_para_shop;M249 Para
m249_para_0;M249 Para
m249_para_1;Minimi
m249_para_2;LMG
m4a1_shop;M4A1
m4a1_0;M4A1
m4a1_1;M4
m4a1_2;Assault rifle
mac_11_shop;MAC-11 PDW
mac_11_0;MAC-11 PDW
mac_11_1;MAC-11
mac_11_2;SMG
mcmillan_tac_50_shop;TAC-50
mcmillan_tac_50_0;TAC-50
mcmillan_tac_50_1;TAC-50
mcmillan_tac_50_2;AMR
mk_14_ebr_shop;Mk 14 EBR
mk_14_ebr_0;Mk 14 EBR
mk_14_ebr_1;M14
mk_14_ebr_2;BR
mk_48_shop;Mk 48
mk_48_0;Mk 48
mk_48_1;Minimi
mk_48_2;LMG
pp_19_bizon_shop;PP-19
pp_19_bizon_0;PP-19 Bizon
pp_19_bizon_1;ПП-19
pp_19_bizon_2;SMG
pp_19_vityaz_shop;PP-19 Vityaz
pp_19_vityaz_0;PP-19 Vityaz
pp_19_vityaz_1;ПП-19
pp_19_vityaz_2;SMG
pp_2000_shop;PP-2000
pp_2000_0;PP-2000
pp_2000_1;PP-2000
pp_2000_2;SMG
rpk_16_shop;RPK-16
rpk_16_0;RPK-16
rpk_16_1;RPK
rpk_16_2;LMG
rpk_74m_shop;RPK-74M
rpk_74m_0;RPK-74M
rpk_74m_1;RPK
rpk_74m_2;LMG
sig_xm250_shop;M250
sig_xm250_0;M250
sig_xm250_1;M250
sig_xm250_2;LMG
sig_xm5_shop;XM5
sig_xm5_0;XM5
sig_xm5_1;XM5
sig_xm5_2;BR
svd_shop;SVD
svd_0;SVD
svd_1;SVD
svd_2;DMR
svd_m_shop;SVDM
svd_m_0;SVDM
svd_m_1;SVD
